SMILES,Adduct,True CCS
CC(=NCCC1=CNC=2C=CC(=CC12)OC)O,[M+Na]+,157.8
CC(=NCCC1=CNC=2C=CC(=CC12)OC)O,[M-H]-,155.2
CC(=NCCC1=CNC=2C=CC(=CC12)O)O,[M+Na]+,153.9
CC(=NC1(C(CC(C(=O)O)(OC1(C(C(CO)(O)[H])(O)[H])[H])OP(O)(=O)OCC2(C(C(C(N3C=CC(=N)N=C3O)(O2)[H])(O)[H])(O)[H])[H])(O)[H])[H])O,[M+Na]+,221.5018629
CC(=NC1(C(C(C(CO)(OC1(OP(O)(O)=O)[H])[H])(O)[H])(O)[H])[H])O,[M-H]-,156.4181529
CC(=NC1(C(C(C(CO)(OC1(OP(O)(=O)OP(O)(=O)OCC2(C(C(C(N3C=CC(=NC3=O)O)(O2)[H])(O)[H])(O)[H])[H])[H])[H])(O)[H])(O)[H])[H])O,[M+Na]+,217.6
CC(=NC1(C(C(C(CO)(OC1(N)[H])[H])(O)[H])(O)[H])[H])O,[M-H]-,155.3
CC(=NC=1C=CN(C2(C(C(C(CO)(O2)[H])(O)[H])(O)[H])[H])C(N1)=O)O,[M-H]-,161.4026856
CC(=NC(CO)(C(=O)O)[H])O,[M-H]-,127.8
CC(=NC(CCCN)(C(=O)O)[H])O,[M+H]+,136.9360855
CC(=NC(CCC(=O)O)(C(=O)O)[H])O,[M+H]+,139.0333333
CC(=NC(CCC(=N)O)C(=O)O)O,[M+Na]+,144.6132213
CC(=NC(CC1=CNC2=CC=CC=C12)(C(=O)O)[H])O,[M+Na]+,162.7367489
CC(=NC(CC1=CNC2=CC=CC=C12)(C(=O)O)[H])O,[M+H]+,152.2
CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]1[C@]2(CC[C@@H]2[C@@]1(CC[C@@H](C2(C)C)O)C)C)O)C)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)C,[M-H]-,257.9143196
c1nc2c([nH]1)c(=S)nc([nH]2)N,[M-H]-,128.8564654
